Row,v1_snakes,v1_gratings,v2_snakes,v2_gratings,v3_snakes,v3_gratings
CE_DS1,0.349424677609676,0.342565011168484,0.561837093576775,0.555076238742999,0.672437517925951,0.666181140957117
CE_DS2,1.22998954316372,1.19756690717605,0.753762604336569,0.739483894970086,0.788216633644422,0.777345932718484
CE_DS3,1.08927990940355,1.0704082874885,1.31665749058433,1.30693663036346,1.33552032166687,1.32691109623037
CE_DS4,1.35482069604907,1.32396253684223,1.27521961155066,1.25568656526249,1.59242601354041,1.57323518593786
SOC_DS1,0.355476325082704,0.335929994845427,0.577737910999778,0.539926478399535,0.686520908165589,0.65156470944901
SOC_DS2,1.24421800906471,1.18238600857703,0.769110925442685,0.723751267842625,0.804678462239906,0.761061827379339
SOC_DS3,1.08480930422391,1.07106165965712,1.33314893987084,1.29248585116712,1.35428279447352,1.31124369798065
SOC_DS4,1.37738289169609,1.30557849750682,1.29822806107546,1.23938275526619,1.62451453908261,1.55277688731736
OTS_DS1,0.408774082621917,0.285901939583336,0.629805887646235,0.481273835277134,0.743327922102365,0.589044160481287
OTS_DS2,1.22998691946041,1.19756916834177,0.747675443907444,0.744061998267696,0.788216127427617,0.777346314145299
OTS_DS3,1.34215656711855,0.85100953199665,1.50139442348648,1.13903725445244,1.49449035887536,1.1827048430375
OTS_DS4,1.68378844003677,1.07528804644516,1.56075772614838,1.02815763496354,1.90156478425844,1.28803910230418
NOA_DS1,0.48303550314366,0.188161389020084,0.82208623248732,0.298043910832791,0.934691876167218,0.402573094070262
NOA_DS2,1.35867746799709,1.06652616390939,0.879144223772523,0.612901357047817,0.985471778019788,0.581385849772742
NOA_DS3,1.49602780944336,0.705161577200657,1.74215535300809,0.930377804529823,1.73628093132861,0.973940838495525
NOA_DS4,1.92697185615362,0.808416040915304,1.83800139865366,0.761220865630859,2.25948750021008,0.98989652804695
Data_DS1,0.49178591867288,0.198036966534952,0.85406361023585,0.26035908361276,0.956625547673967,0.381174501445558
Data_DS2,1.40772591696845,1.01721571551429,0.871644622749753,0.620491239759657,0.988735261890623,0.575491024388207
Data_DS3,1.51886179220771,0.687561400708021,1.76862102761586,0.904484427918635,1.78044319666886,0.930788649133527
Data_DS4,1.93216474177891,0.801618457822092,1.89137956157147,0.70290781432377,2.33387828169215,0.909807743067881
