model,DS1,DS2,DS3,DS4
contrast,0.368466053622226,0.273653918687349,0.529389975335466,0.902373886783728
soc,0.375160623045822,0.252223066904835,0.401515250823712,0.678214913185706
oriSurrond,0.288851510079162,0.276043491594046,0.441346017547003,0.686850294611153
normVar,0.142081027293405,0.125190109810524,0.271369923367019,0.459281210956849
