model,dataset1,dataset2,dataset3,dataset4
contrast,0.287913605216814,0.259861754689155,0.575817611582833,0.70656663187626
soc,0.311079069467138,0.280817251217265,0.65567390767312,0.835378852751388
oriSurrond,0.222275848918969,0.292604389905186,0.336753886532296,0.450276857825653
normVar,0.244648349571247,0.181031192670258,0.324049921515032,0.49474304746657
