model,dataset1,dataset2,dataset3,dataset4
contrast,0.37674688474806,0.205334706741491,0.5404468307309,0.75471545341087
soc,0.384611128625029,0.221836163323859,0.438381335004737,0.620966608455995
oriSurrond,0.303087663562507,0.201174351314556,0.415605561239725,0.515328723144896
normVar,0.15971683147777,0.114202180097293,0.24966140320565,0.407725179680906
