model,dataset1,dataset2,dataset3,dataset4
contrast,-0.0856686135015425,0.247664711371008,-0.201188955570832,-0.133572890991281
soc,-0.131466331522686,0.121884992744457,0.209668136944274,0.232604124503475
oriSurrond,0.297357423079436,0.277842497094762,0.28965703771789,0.471491878538571
normVar,0.804881110911047,0.767279041118717,0.743664830634116,0.669159985103575
