model,dataset1,dataset2,dataset3,dataset4
contrast,0.166302788300133,0.441711474096082,0.0999924568074597,-0.00402083661858299
soc,0.101348507470557,0.400455131426739,0.417606910510463,0.338054350422133
oriSurrond,0.366611317137876,0.510558103910447,0.256133758799696,0.116671273982838
normVar,0.481812091229776,0.552610441155248,0.519062166210855,0.508198485302456
