model,dataset1,dataset2,dataset3,dataset4
contrast,0.218307215893694,0.250622505993726,0.409713889417009,0.502609623228367
soc,0.227612531862897,0.25997837386256,0.424132009565659,0.49932902623386
oriSurrond,0.180636424182142,0.233831527834348,0.355148703962487,0.454882098545637
normVar,0.183420230620251,0.233622715011675,0.389919063382327,0.504880387445326
