model,dataset1,dataset2,dataset3,dataset4
contrast,0.134336204044506,0.26017549498346,0.0927326365149509,0.0130869586535531
soc,0.165894527775514,0.474433932947181,0.484749501399191,0.433059983938525
oriSurrond,0.28112878508548,0.246449338160789,0.205879007342067,0.106294189355064
normVar,0.505158218484556,0.401553898345431,0.438802642613036,0.438897607416046
