model,dataset1,dataset2,dataset3,dataset4
contrast,0.267121499337277,0.186615682714078,0.426791814006886,0.615564822194314
soc,0.277332214297001,0.193388048981263,0.343321588125704,0.499819961057389
oriSurrond,0.232830472162801,0.17473075678413,0.388007777558996,0.577382487483078
normVar,0.210595121674393,0.167055857910493,0.31198770377168,0.430821492776365
