model,dataset1,dataset2,dataset3,dataset4
contrast,0.253411291023639,0.211298998984491,0.422141325484053,0.730043610646491
soc,0.248749272528691,0.178092955910128,0.318126198270193,0.553321972238605
oriSurrond,0.230928152490251,0.213250133294257,0.394942220466976,0.694714960228962
normVar,0.191595151651421,0.190040255061899,0.332007606537516,0.550465900033846
