model,dataset1,dataset2,dataset3,dataset4
contrast,0.281498167912598,0.64484524622494,0.408397393893363,0.469376827902324
soc,0.218940647256201,0.617834092520069,0.366026937497302,0.476281111544311
oriSurrond,0.508071082533851,0.690839763887549,0.555482182939179,0.565367393614592
normVar,0.492791914509424,0.691391680880538,0.464181576911205,0.46457134094238
