model,DS1,DS2,DS3,DS4
contrast,0.203709971831481,0.32828385379983,0.172646788339645,0.0966302658568933
soc,0.313059272626901,0.53055492448878,0.542977042454416,0.494388409483438
oriSurrond,0.34711583892688,0.340603510165083,0.291091231904098,0.204057947848989
normVar,0.558744755558093,0.481781410976339,0.53113892689871,0.556407733460466
