model,dataset1_mean,dataset1_sem,dataset2_mean,dataset2_sem,dataset3_mean,dataset3_sem,dataset4_mean,dataset4_sem
contrastModel: g,1.76209503221034,NaN,3.85702885097952,NaN,1.83708177415337,NaN,2.44025159224282,NaN
contrastModel: n,0.437809520812394,NaN,0.300655848772665,NaN,0.209060092682355,NaN,0.231188985931755,NaN
socModel: c,134997.157039166,NaN,1.9242650250518e-08,NaN,1.37642244281519,NaN,1.40868631504995,NaN
socModel: g,0.0107827110427386,NaN,3.43938926472229,NaN,2.77480801548999,NaN,3.93000922633194,NaN
socModel: n,0.219377013523737,NaN,0.16245249135697,NaN,0.140190860354957,NaN,0.154673987583289,NaN
oriSurroundModel: w,72.4961664269551,NaN,28.2659487709728,NaN,23.6865780359846,NaN,15.9633102334969,NaN
oriSurroundModel: g,133.010547567817,NaN,19.1976019709142,NaN,13.1826635771937,NaN,12.5555514875809,NaN
oriSurroundModel: n,1.08107841998121,NaN,0.577692062796312,NaN,0.583747234708044,NaN,0.550945177474401,NaN
normVarModel: w,117.075347599,NaN,38.8605744432809,NaN,30.2088991163339,NaN,17.8704859674255,NaN
normVarModel: g,6.17433048744779,NaN,5.54079510513437,NaN,4.0126648706722,NaN,4.53041700657666,NaN
normVarModel: n,0.344091982660966,NaN,0.196398969666007,NaN,0.198148131764361,NaN,0.196821376608788,NaN
