model,DS1,DS2,DS3,DS4
contrast,0.256319150845779,0.177795012209755,0.407204219095317,0.588766745482818
soc,0.251397252382225,0.168821955942719,0.322002585072883,0.471379599727476
oriSurrond,0.222016045229554,0.163332430208448,0.366002072775931,0.543681865870105
normVar,0.198268168902087,0.155215673320423,0.282877998004405,0.384085847972584
