model,dataset1_mean,dataset1_sem,dataset2_mean,dataset2_sem,dataset3_mean,dataset3_sem,dataset4_mean,dataset4_sem
contrastModel: g,1.4245138809929,NaN,1.93397813189352,NaN,1.50472125224167,NaN,1.38767838607114,NaN
contrastModel: n,0.224315654444747,NaN,0.238576770279658,NaN,0.0917347243366481,NaN,0.0882757596591879,NaN
socModel: c,1.58628617133095,NaN,1.41836597568788,NaN,1.64751067323391,NaN,1.64347778923193,NaN
socModel: g,1.54201642629582,NaN,2.01673529464458,NaN,2.61315097229102,NaN,3.16189758537382,NaN
socModel: n,0.132373277583945,NaN,0.131839507687123,NaN,0.0975847918657677,NaN,0.129378085238068,NaN
oriSurroundModel: w,75.846519411009,NaN,38.5334081879035,NaN,33.1229900849853,NaN,51.1955090181895,NaN
oriSurroundModel: g,16.1266887168836,NaN,9.81371074037407,NaN,4.6915577798905,NaN,7.91339762637216,NaN
oriSurroundModel: n,0.586014628304592,NaN,0.5134903343704,NaN,0.30061898858682,NaN,0.403340379687543,NaN
normVarModel: w,191.24183709836,NaN,50.1081763419922,NaN,200.891710304093,NaN,351.754854636233,NaN
normVarModel: g,4.45087672773096,NaN,2.91124093771886,NaN,5.61479798491324,NaN,14.7599119024459,NaN
normVarModel: n,0.219173685511051,NaN,0.168420306677173,NaN,0.171701198346095,NaN,0.263733288182827,NaN
