model,dataset1_mean,dataset1_sem,dataset2_mean,dataset2_sem,dataset3_mean,dataset3_sem,dataset4_mean,dataset4_sem
contrastModel: g,1.37770244654697,NaN,1.62137556968617,NaN,1.53334586803259,NaN,1.76267800300539,NaN
contrastModel: n,0.170691172022128,NaN,0.186493778595623,NaN,0.0860096785569093,NaN,0.0924932528500846,NaN
socModel: c,1.58688908499339,NaN,1.49444087301611,NaN,1.64435833860804,NaN,1.6432144659318,NaN
socModel: g,1.66927115967993,NaN,1.9190733714419,NaN,2.68501496013613,NaN,4.16438183117392,NaN
socModel: n,0.119946831546581,NaN,0.122581367032802,NaN,0.0963279527714703,NaN,0.135396429906488,NaN
oriSurroundModel: w,51.1066913692461,NaN,12.5097156203068,NaN,29.8966739565224,NaN,30.6310937956651,NaN
oriSurroundModel: g,5.84748808580583,NaN,2.72355762191249,NaN,3.86367531814653,NaN,6.13063893693978,NaN
oriSurroundModel: n,0.392049240072102,NaN,0.279688736726488,NaN,0.254727710502738,NaN,0.328427753080902,NaN
normVarModel: w,196.745820680494,NaN,79.3517266078567,NaN,262.050272405506,NaN,325.690044431149,NaN
normVarModel: g,3.80929743631007,NaN,2.57170043109845,NaN,5.34069012146267,NaN,14.1864990735736,NaN
normVarModel: n,0.18236112296256,NaN,0.142968495169161,NaN,0.155774194578893,NaN,0.239031291372773,NaN
